Player,EVENTS_PLAYED,POINTS,NUMBER_OF_WINS,NUMBER_OF_TOP_Tens,POINTS_BEHIND_LEAD,ROUNDS_PLAYED,SG_PUTTING_PER_ROUND,TOTAL_SG:PUTTING,MEASURED_ROUNDS,AVG_Driving_DISTANCE,UP_AND_DOWN_%,PAR_OR_BETTER,MISSED_GIR,FAIRWAY_HIT_%,FAIRWAYS_HIT,POSSIBLE_FAIRWAYS,GIR_RANK,GOING_FOR_GREEN_IN_2%,ATTEMPTS_GFG,NON-ATTEMPTS_GFG,RTP-GOING_FOR_THE_GREEN,RTP-NOT_GOING_FOR_THE_GRN,HOLE_OUTS,SAND_SAVE%,NUMBER_OF_SAVES,NUMBER_OF_BUNKERS,TOTAL_O/U_PAR,Three_PUTT%,TOTAL_3_PUTTS,SG_PER_ROUND,SG:OTT,SG:APR,SG:ARG,DRIVES_320+%,TOTAL_DRIVES_FOR_320+,TOTAL_DRIVES,ROUGH_TENDNECY%,TOTAL_ROUGH,FAIRWAY_BUNKER%,TOTAL_FAIRWAY_BUNKERS,AVG_CLUB_HEAD_SPEED,FASTEST_CH_SPEED,SLOWEST_CH_SPEED,AVG_BALL_SPEED,FASTEST_BALL_SPEED,SLOWEST_BALL_SPEED,AVG_SMASH_FACTOR,HIGHEST_SF,LOWEST_SF,AVG_LAUNCH_ANGLE,LOWEST_LAUNCH_ANGLE,STEEPEST_LAUNCH_ANGLE,AVG_SPIN_RATE,HIGHEST_SPIN_RATE,LOWEST_SPIN_RATE,AVG_HANG_TIME,LONGEST_ACT.HANG_TIME,SHORTEST_ACT.HANG_TIME,AVG_CARRY_DISTANCE,LONGEST_CARRY_DISTANCE,SHORTEST_CARRY_DISTANCE,AVG_SCORE,TOTAL_STROKES,TOTAL_ROUNDS,MAKES_BOGEY%,BOGEYS_MADE,HOLES_PLAYED,AGE
Kevin Tway,31,643,0,3,4974,110,0.052,4.721,90,310.1,56.77,352,620,52.61,765,1454,97,67.56,227,109,-128,-8,15,49.44,89,180,46,2.4,45,0.277,0.271,0.032,-0.026,24.4,307,"1,258",34.41,428,6.8,85,122.13,129.02,117.89,181.25,184.78,174.97,1.484,1.519,1.411,11.01,5.86,16.81,3026.3,6437,2159,6.1,7.6,2,289.5,316.7,260,70.8,7323,104,16.29,305,1872,33
Kiradech Aphibarnrat,24,746,0,2,4896,51,0.031,0.943,30,294.6,57.34,164,286,63.34,375,592,179,66.35,69,35,-37,0,10,47.13,41,87,34,2.78,23,0.261,0.491,-0.347,0.117,12.14,51,420,27.03,113,4.3,18,113.46,119.56,110.02,168.4,171.17,161.75,1.484,1.514,1.417,10.95,7.55,14.68,2579.8,3442,1989,6.3,7.4,4.3,275,300.1,254.1,70.629,3277,46,19.69,163,828,34
Kyle Stanley,24,1525,0,5,4092,85,0.113,6.434,57,296.2,56.72,228,402,71.45,786,1100,4,56.58,129,99,-72,-14,6,44.68,63,141,44,3.17,48,0.798,0.489,0.271,0.038,11.89,102,858,20.3,174,4.8,41,112.67,116.63,109.5,168.07,173.98,162.81,1.491,1.517,1.438,10.89,6.83,14.99,2891.2,6573,1801,6.4,7.7,4.5,273.2,312.4,222.2,70.441,5906,84,15.61,236,1512,30
Kyle Thompson,22,10,0,0,5607,50,-0.75,-27.017,36,285.3,54.02,168,311,62.99,405,643,178,42.42,56,76,-23,3,6,51.28,40,78,24,3.86,32,-0.512,-0.534,0.036,-0.014,2.78,14,504,28.83,145,7.4,37,106.27,111.01,103.36,158.42,162.41,154.76,1.491,1.516,1.434,10.89,8.18,13.7,2286.4,4369,1531,5.9,6.8,3.9,255.6,285.2,222.8,72.673,3311,46,20.65,171,828,31
Lanto Griffin,26,175,0,0,5442,80,-0.134,-7.758,58,302.4,56.35,235,417,54.52,549,1007,73,57.35,117,87,-66,0,13,50.91,56,110,42,3.3,44,-0.162,-0.05,-0.034,-0.078,15.89,129,812,36.72,293,5.1,41,119.4,122.32,115.27,178.59,182.1,172.19,1.495,1.517,1.455,10.89,8.61,14.27,2451.1,4832,1633,5.5,7.5,0.7,279.2,316.9,223,71.145,5228,74,17.42,232,1332,30
Louis Oosthuizen,16,826,0,3,4791,58,0.128,4.859,38,299.8,65.52,190,290,62.58,403,644,133,46.04,64,75,-34,-10,5,64,64,100,22,3.7,36,0.474,0.403,-0.33,0.4,15.07,88,584,29.21,170,4.6,27,114.36,118.21,110.48,171.42,175.59,166.14,1.498,1.516,1.461,10.85,6.29,14.42,2721.3,4017,1995,6.5,7.7,4.7,282.3,320.7,259,70.157,3806,54,15.74,153,972,35
Lucas Glover,18,324,0,1,5293,65,-0.149,-6.534,44,297.2,60.76,209,344,64.6,531,822,80,58.29,102,73,-51,-4,8,51.24,62,121,36,3.73,41,0.413,0.509,-0.123,0.027,8.17,50,612,26.19,160,8,49,115.31,118.83,111.53,171.9,176.22,165.57,1.49,1.516,1.442,10.83,7.02,13.53,2658,7939,1630,6.3,7.4,4.9,278.9,303.3,236.6,71.066,4345,61,16.39,180,1098,38
Luke List,28,1111,0,5,4506,94,-0.422,-30.394,72,315.2,58.61,296,505,54.09,674,1246,49,78.44,211,58,-122,-4,16,52.91,91,172,33,3.1,53,1.44,0.824,0.26,0.356,26.7,283,"1,060",34.16,358,6.6,69,121.44,126.72,116.18,181.24,185.36,175.34,1.492,1.518,1.431,10.82,7.16,16.61,2963.1,5117,2154,6.9,7.8,3.1,301.1,323.8,248.2,70.229,6679,95,15.96,273,1710,29
Mackenzie Hughes,28,227,0,1,5390,80,-0.155,-10.204,66,295,55.21,249,451,59.63,616,1033,104,55.9,128,101,-60,-2,12,41.82,46,110,48,2.41,33,0.154,-0.067,0.342,-0.121,8.13,75,922,27.62,253,8.7,80,115.01,118.62,110.55,170.72,174.15,165.23,1.484,1.51,1.444,10.81,6.76,15.31,2757.6,5250,1418,6.5,7.5,3.6,279.4,297.6,246.9,71.282,5387,76,17.69,242,1368,28
Marc Leishman,23,1390,0,6,4227,85,0.149,9.112,61,298.6,60.04,278,463,59.27,652,1100,94,59.34,143,98,-80,-1,10,50.35,71,141,42,2.39,37,0.637,0.023,0.318,0.297,13.57,124,914,29.46,266,5.3,48,115.3,119.37,111.72,173.06,176.89,168.64,1.501,1.519,1.46,10.8,6.47,13.52,2812.6,5930,2033,6.4,8.2,2,283.3,312.9,249.1,70.243,6031,86,15.89,246,1548,34
Martin Flores,29,215,0,0,5402,92,-0.289,-20.821,72,300,54.89,286,521,54.92,659,1200,102,54.09,139,118,-59,-13,11,40.65,63,155,73,3.23,50,-0.278,-0.097,-0.083,-0.098,10.76,108,"1,004",31.55,313,9.5,94,114.91,119.68,111.16,171,177.36,165.57,1.488,1.517,1.446,10.79,6.68,13.56,2317.8,3441,1479,6.2,7.5,2.6,279.7,309.1,246.4,71.458,6112,86,17.96,278,1548,36
Martin Laird,22,453,0,3,5164,73,0.282,17.178,61,299,59.15,236,399,63.22,574,908,111,54.94,128,105,-73,-8,12,50.48,53,105,31,3.59,42,0.189,-0.045,0.024,0.209,8.69,74,852,26.24,222,5.3,45,114.93,118.59,111.67,171.22,174.58,167.89,1.49,1.519,1.436,10.78,6.95,15.42,2597.1,6741,1540,6.5,7.8,1.3,283.3,317.4,247.4,70.839,4576,65,16.58,194,1170,35
Martin Piller,28,371,0,2,5246,79,0.118,7.937,67,292.2,57.74,317,549,58.51,629,1075,189,49.59,121,123,-62,-3,19,47.62,70,147,63,3.25,45,-1.246,-0.248,-0.811,-0.186,3.95,37,936,30.25,281,7.4,69,109.67,112.6,106.99,163.87,168.21,159.19,1.494,1.52,1.449,10.77,5.7,15.82,2624.3,4435,1879,6.3,7.6,4.3,272.6,292.2,249,71.929,5509,77,19.12,265,1386,34
Matt Atkins,21,44,0,0,5573,56,-0.198,-7.912,40,301.4,57.6,197,342,57.5,418,727,164,59.48,91,62,-48,7,10,45.65,42,92,35,3.63,34,-0.931,0.134,-1.039,-0.027,13.21,74,560,34.06,188,5.6,31,116.19,119.38,112.35,170.18,174.52,164.47,1.464,1.507,1.39,10.73,7.52,14.1,2527.8,5118,1495,6.5,8,3.1,286.7,316.9,234.5,72.251,3716,52,18.7,175,936,32
Matt Every,30,113,0,1,5504,79,-0.364,-22.207,61,294.2,52.51,251,478,55.5,580,1045,145,62.83,142,84,-74,6,14,48.84,63,129,53,3.63,49,-0.775,-0.437,-0.023,-0.314,7.88,67,850,31.23,262,7.4,62,113.06,117.13,109.99,169.1,174.39,161.06,1.495,1.519,1.428,10.71,5.54,13.04,2561,3335,1958,6.3,7.5,3.4,281.3,304.7,254,72.044,5379,75,20,270,1350,33
Matt Jones,23,264,0,0,5353,70,-0.084,-3.783,45,304.2,60.34,213,353,58.98,496,841,87,64.2,104,58,-66,7,10,50.48,53,105,37,3.41,38,0.192,0.325,-0.304,0.17,14.6,92,630,28.57,178,6.9,43,118.06,122.61,114.01,176.11,180.5,171.96,1.491,1.518,1.424,10.7,8.24,13.44,3004.9,4212,2264,6.4,7.8,3.1,284.7,308.8,251.6,71.112,4381,62,16.22,181,1116,36
Matt Kuchar,24,740,0,4,4877,88,0.371,23.37,63,287.8,64.43,297,461,62.97,687,1091,90,45.75,113,134,-62,-17,8,61.97,88,142,34,2.5,36,0.254,-0.206,0.238,0.222,5.24,46,878,27.41,239,5.6,49,107.97,110.49,105.16,162.45,166.69,157.81,1.504,1.519,1.475,10.67,6.01,13.91,2447.8,4808,1859,6.2,7.4,3.5,267.6,291.2,235.8,70.461,5626,80,14.17,204,1440,40
Michael Kim,27,675,1,1,4942,74,0.259,14.004,54,289.9,56.05,278,496,54.89,539,982,186,43.39,82,107,-45,-7,17,48.84,63,129,45,2.54,32,-1.262,-1.023,-0.213,-0.027,3.45,26,754,30.57,225,7.9,58,110.64,114.2,106.78,164.54,169.8,154.74,1.487,1.516,1.39,10.63,6.03,16.38,2659.4,5715,1715,6.3,7.5,1.9,271.5,296.5,250.2,71.662,5005,70,19.29,243,1260,25
Michael Thompson,19,280,0,0,5337,62,0.498,27.889,56,296.4,55.77,174,312,64.66,525,812,19,45.27,91,110,-55,-14,7,48.61,35,72,22,2.87,30,-0.446,-0.073,-0.423,0.05,6.76,53,784,23.17,180,6.9,54,111.7,115.95,108.25,167.02,171.01,161.22,1.495,1.518,1.468,10.62,4.89,14.29,2718.6,5411,1863,6.6,7.6,4.3,277.3,294.5,254.2,70.924,4085,58,15.33,160,1044,28
Nate Lashley,17,168,0,0,5449,51,0.082,2.853,35,293.9,60.59,163,269,60.58,398,657,57,52.71,68,61,-39,-4,9,48.57,34,70,21,2.36,20,0.228,0.111,0.036,0.08,6.73,33,490,27.37,133,8.6,42,113.86,116.3,111.55,168.96,172.6,163.91,1.483,1.504,1.45,10.62,6.38,14.53,2484.4,3122,2032,6.3,7.5,4.3,276.4,299.1,248,70.999,3318,47,14.78,125,846,35
Nicholas Lindheim,26,272,0,1,5345,77,0.355,20.924,59,293.5,53.9,214,397,60.44,582,963,65,41.31,88,125,-41,-9,6,43.96,40,91,36,3.06,38,-0.678,-0.258,-0.368,-0.052,7.65,63,824,31.18,256,6.1,50,113.56,117.32,109.6,168.57,175.04,162.42,1.484,1.516,1.426,10.58,7.33,13.93,2266.6,4285,1433,5.9,7.1,3.2,270.9,296.1,242.3,71.344,4876,69,16.99,211,1242,33
Nick Taylor,30,420,0,2,5197,94,-0.312,-23.071,74,292.7,61.83,324,524,60.94,766,1257,78,56.99,155,117,-86,-11,10,55.56,75,135,38,3.4,55,0.077,0.049,0.011,0.017,5.8,60,"1,034",30.83,316,6.4,66,109.88,114.86,106.7,163.72,167.65,160.91,1.49,1.516,1.41,10.55,6.88,14.02,2573,3700,1959,6.3,7.2,3.2,273.8,307.1,252.1,71.269,6373,90,15.31,248,1620,30
Nick Watney,26,760,0,1,4857,94,0.2,15.999,80,307.5,55.68,289,519,56.33,707,1255,66,56.71,169,129,-86,-4,15,43.79,74,169,51,2.1,34,0.143,0.17,0.141,-0.167,16.67,186,"1,116",29.86,330,7.1,78,118.45,121.46,115.03,178.53,183.06,173.36,1.507,1.519,1.48,10.55,6.97,13.52,2707.7,5364,1762,6.4,7.8,4,289.3,315.8,253.8,70.862,6346,90,15.74,255,1620,37
Ollie Schniederjans,27,573,0,3,5044,91,0.325,24.38,75,301.7,57.65,324,562,52.28,620,1186,167,50.57,133,130,-70,-20,15,50.31,82,163,63,2.49,39,-0.038,-0.406,0.104,0.264,13.19,138,"1,046",36.58,379,7.9,82,119.28,124.94,115.43,177.43,180.88,172.01,1.487,1.515,1.435,10.53,5.68,15.07,2758.6,4488,1751,6,7.9,1.9,279.3,323.4,223.5,70.641,6143,87,17.94,281,1566,25
Padraig Harrington,16,29,0,0,5588,46,-0.179,-5.742,32,300.1,56.32,156,277,55.18,293,531,192,56.86,58,44,-25,9,3,62.34,48,77,18,2.86,39,-0.882,-0.448,-0.663,0.23,10.81,92,860,28.77,244,6.1,52,113.92,118,110.34,169.6,174.36,163.67,1.487,1.515,1.431,10.51,6.33,13.76,2633.7,5085,1737,6.3,7.6,3.2,278.2,305.5,244.8,70.89,5329,75,16.48,222,1359,47
Pat Perez,22,1167,1,4,4450,78,0.146,6.287,43,292.9,56.19,218,388,64.87,613,945,72,49.71,86,87,-47,-13,9,43.52,47,108,42,2.44,33,-0.183,-0.032,-0.199,0.048,11.18,74,662,30.4,200,3.8,25,116.79,120.21,112.85,168.41,172.73,159.82,1.442,1.473,1.393,10.48,6.8,14.2,3127.4,7784,2228,6.5,7.7,2.3,277.6,310.6,241.5,70.594,5295,75,16.52,223,1350,39
Patrick Cantlay,21,1838,1,7,3779,79,-0.055,-3.052,55,303.2,59.17,213,360,61.52,590,959,11,74.21,164,57,-98,-1,8,54.64,53,97,15,3.29,45,1.489,0.723,0.567,0.199,17.35,144,830,29.3,242,4.2,35,114.61,117.73,111.99,172.73,177.59,168.89,1.507,1.519,1.476,10.47,5.34,14.76,2527.3,4377,1963,6.4,7.7,3.4,285.2,309.9,263.2,69.861,5313,76,15.06,206,1368,25
Patrick Reed,24,1761,1,7,3856,86,0.151,7.698,51,299.3,64.26,311,484,54.11,560,1035,159,66.34,134,68,-81,0,13,55.35,88,159,33,2.24,33,0.89,0.091,0.255,0.543,11.49,88,766,32.37,246,6.4,49,117.18,120.41,113.4,173.39,178.01,166.76,1.479,1.513,1.448,10.46,6.33,15.31,3048.3,5094,2314,6.3,7.5,2.6,279.9,304.7,252.7,69.982,5749,82,15.11,223,1476,28
Patrick Rodgers,30,541,0,3,5076,97,0.596,41.152,69,303.4,58.14,318,547,60.92,756,1241,112,57.37,144,107,-78,1,9,52.52,73,139,35,2.51,42,-0.402,-0.033,-0.412,0.043,16.01,154,962,28.78,274,5.7,54,118.75,122.07,114.89,177.01,182.28,172.78,1.49,1.519,1.435,10.46,7.33,13.33,2731.1,4044,1745,6.5,7.9,3.6,290.3,322.7,246.2,70.731,6572,93,16.79,281,1674,26
Patton Kizzire,27,1413,2,4,4204,84,0.16,11.231,70,299,55.36,253,457,54.82,625,1140,45,54.31,145,122,-69,-23,14,42.34,47,111,42,2.81,43,-0.055,-0.278,0.39,-0.167,12.88,134,"1,040",34.14,351,6.6,68,115.49,119.38,112.12,171.71,176.2,167.55,1.486,1.516,1.431,10.45,6.1,14.19,2646.8,4721,1530,6.3,7.7,2.7,280.7,313.2,256.7,70.851,5982,85,15.82,242,1530,27
Paul Casey,18,1499,1,5,4118,67,0.126,4.79,38,304.1,60.87,210,345,62.81,527,839,62,58.5,86,61,-57,-8,10,50.65,39,77,30,2.82,34,0.944,0.179,0.703,0.063,14.74,84,570,26.1,148,6.3,36,117.33,122.99,112.01,175.93,181.14,169,1.499,1.516,1.459,10.42,7.7,13.03,2608.2,3524,1442,6.3,7.7,4.2,281.7,314.2,256.8,69.878,4697,67,15.09,182,1206,35
Peter Malnati,28,226,0,0,5391,87,0.619,46.404,75,290.9,61.3,339,553,56.86,659,1159,172,48.53,132,140,-71,-10,9,56.69,89,157,57,1.81,27,-0.374,-0.372,-0.257,0.255,6.49,68,"1,048",29.08,303,8.1,84,111.26,117.19,105.56,165,171.4,155.87,1.483,1.514,1.411,10.41,5.97,13.21,2581.9,3649,1677,6.4,7.6,2.8,271.5,295.2,235.8,70.841,5848,83,15.86,237,1494,30
Peter Uihlein,25,843,0,4,4774,79,0.088,4.996,57,301.3,59.8,244,408,51.93,510,982,79,57.92,128,93,-72,-14,8,56.73,59,104,28,2.99,42,0.216,0.031,-0.043,0.229,21.78,186,854,33.61,282,7.5,63,122.9,128.42,117.19,181.46,186.83,174.3,1.476,1.518,1.398,10.4,6.22,14.38,2961.6,3826,1878,6.6,7.6,4.8,291,330.1,259.9,70.578,5495,78,16.6,233,1404,34
Phil Mickelson,22,1969,1,6,3648,82,0.841,48.801,58,299.9,60.85,286,470,52.33,551,1053,127,60.63,134,87,-92,-10,12,60.9,81,133,29,2.34,35,0.617,-0.147,0.634,0.13,14.52,126,868,35.82,307,7.6,65,116.4,121.44,106.59,173.78,177.25,161.13,1.493,1.518,1.443,10.37,7.85,12.69,2714.9,6637,1914,6.7,7.8,4,293.8,316.3,265.6,69.927,5802,83,16.06,240,1494,48
Rafa Cabrera Bello,19,1121,0,5,4496,71,0.146,5.828,40,295.6,57.85,188,325,67.05,584,871,7,58.87,83,58,-57,-7,4,55.45,56,101,31,3.17,40,1.136,0.348,0.693,0.094,7.79,48,616,25.57,157,4.9,30,112.17,115.08,110.01,167.46,171.91,163.52,1.493,1.51,1.473,10.36,7.46,13.43,2488.3,5116,1727,6.1,7,4.3,271.3,297.6,245,69.887,4898,70,15.48,195,1260,36
Retief Goosen,20,261,0,1,5356,60,-0.411,-16.459,40,296.2,56.98,204,358,55.22,402,728,182,51.68,77,72,-29,-2,8,41.89,31,74,31,2.99,28,-0.085,-0.392,0.389,-0.083,9.14,51,558,32.18,177,5.8,32,111.99,117.08,107.46,166.59,169.99,160.89,1.487,1.518,1.436,10.35,7.14,15.51,2218.2,2932,1565,6.4,7.8,1.9,281.6,302.5,237,71.409,3721,52,18.91,177,936,49
Richy Werenski,32,498,0,2,5119,98,-0.117,-8.405,72,292.2,57.55,301,523,65.16,819,1257,77,53.88,139,119,-86,-14,15,43.36,62,143,63,3.02,50,0.072,0.113,-0.099,0.058,5.17,52,"1,006",25.87,259,6.4,64,109.14,112.02,105.83,164.05,168.54,159.61,1.503,1.52,1.469,10.26,5.17,14.77,2734.2,5641,1947,6.4,7.4,2.8,273.6,299.5,245.2,71.185,6512,92,16.61,275,1656,35
Rickie Fowler,18,1302,0,4,4315,66,0.224,10.983,49,301.1,64.31,218,339,63.81,559,876,28,59.07,114,79,-67,-7,6,59.8,61,102,19,2.06,26,1.005,0.27,0.478,0.257,15.95,119,746,26.29,194,5.4,40,116.04,119.66,112.16,173.84,178.86,166.93,1.498,1.518,1.451,10.26,4.32,16.73,2826.4,4939,1820,6.4,7.6,5.1,290.3,314.8,266.5,69.452,4861,70,12.46,157,1260,29
Ricky Barnes,22,164,0,1,5453,65,0.338,15.195,45,290.6,57.4,221,385,47.15,389,825,156,50.6,85,83,-61,-1,11,51.65,47,91,30,2.45,26,-0.703,-1.019,0.059,0.257,3.33,21,630,42.35,260,4.1,25,116.94,121.06,113.64,169.94,174.61,165.63,1.453,1.517,1.412,10.24,6.79,13.66,2427.3,3026,1914,5.5,6.9,2.6,268.5,293.5,241.8,71.663,4179,59,17.7,188,1062,39
Rob Oppenheim,26,148,0,0,5469,74,0.045,2.407,54,285.2,59.55,262,440,56.26,535,951,150,41.84,82,114,-42,-15,12,60,66,110,29,3.51,43,-0.586,-0.662,0.026,0.05,4.76,36,756,33.96,253,6.4,48,112.17,117.17,108.22,166.5,171,159.63,1.484,1.514,1.423,10.22,6.44,14.47,2809.1,6644,1651,6.2,7.7,2.8,267.3,294.4,235.6,71.532,4830,68,17.08,209,1224,31
Robert Garrigus,27,353,0,1,5264,80,-0.569,-38.672,68,307.9,56.84,270,475,56.37,597,1059,122,67.98,172,81,-68,1,19,43.2,54,125,41,3.95,54,0.356,0.21,0.331,-0.186,16.24,154,948,30.67,288,7,66,117.13,122.06,112.92,176.19,180.59,169.56,1.504,1.519,1.449,10.19,5.96,14.12,2292.3,3627,1425,6.5,8,3.7,291.3,321,228.9,71.457,5391,76,18.06,247,1368,33
Robert Streb,29,155,0,1,5462,78,-0.081,-4.83,60,292.6,52.89,247,467,54.11,559,1033,135,50.24,105,104,-59,-7,9,45,63,140,70,2.78,37,-0.5,-0.68,0.096,0.084,5.73,48,838,32.13,267,8.5,71,115.13,118.73,111.73,171.43,175.51,163.17,1.489,1.515,1.406,10.13,6.12,13.9,2864.9,4048,2000,6.2,8.4,4,270.3,293.4,239.8,71.905,5301,74,18.84,251,1332,34
Roberto Diaz,25,107,0,0,5510,72,0.168,9.41,56,286.3,58.56,260,444,63.2,601,951,157,48.69,93,98,-43,-12,10,50,68,136,49,3.02,37,-1.001,-0.165,-0.6,-0.237,4.46,35,784,28.55,223,5.9,46,108.82,113.95,103.16,161.27,170.45,154.74,1.482,1.519,1.432,10.12,7.18,14.49,2780.2,6877,1441,5.9,7.8,1.3,260.5,292.8,229,71.731,4847,68,17.65,216,1224,32
Rod Pampling,20,64,0,0,5553,62,-0.421,-18.964,45,288.4,56.67,221,390,63.69,514,807,174,56.98,102,77,-25,-2,6,43.2,54,125,53,3.07,32,-0.673,-0.095,-0.415,-0.163,6.55,41,626,26.48,165,6.3,39,112.37,116.81,109.45,163.86,168,155.86,1.458,1.496,1.388,10.1,6.45,14.79,2719.1,4875,1963,5.9,7.1,3.6,259,293.7,192.8,72.445,4184,58,18.87,197,1044,48
Rory McIlroy,16,1373,1,5,4244,56,0.184,7.536,41,320.2,66.05,214,324,55.38,396,715,140,70.14,101,43,-64,-2,11,54.44,49,90,17,2.14,22,1.253,0.655,0.195,0.403,33.92,213,628,30.02,187,5.9,37,121.25,125.4,118.73,181.34,185.19,176.89,1.495,1.519,1.422,10.1,4.71,14.8,2240.4,4320,1635,6.3,7.9,1.6,302.5,337.7,260.7,69.314,3966,57,14.42,148,1026,29
Rory Sabbatini,27,521,0,1,5096,91,0.059,4.449,75,292.3,61.36,316,515,62.05,770,1241,71,58.05,155,112,-97,-16,22,60.67,108,178,28,3.37,54,0.299,0.217,-0.152,0.234,8.6,90,"1,046",27.67,288,8.2,85,112.09,117.89,107.29,166.25,174.35,161.91,1.483,1.518,1.405,10.09,4.59,14.51,2551.6,4388,1690,6.5,7.8,3.8,274.5,308.5,247.5,70.693,6250,89,15.42,247,1602,36
Russell Henley,23,589,0,3,5028,77,0.205,11.054,54,292.5,55.15,214,388,69.34,683,985,32,58,116,84,-49,-13,9,43.9,54,123,49,2.7,36,0.273,0.094,0.431,-0.252,8.95,68,760,23.03,175,6.2,47,112.29,116.49,109.21,167.69,171.58,162.18,1.493,1.519,1.423,10.06,6.4,13.48,2744.4,5050,1547,6,6.9,4.2,268.5,295.2,244,70.489,5224,74,16.44,219,1332,29
Russell Knox,27,629,0,3,4988,94,-0.201,-14.039,70,291.7,60.48,280,463,66.94,804,1201,20,45.75,113,134,-59,-13,14,50.4,63,125,34,3.15,51,0.468,0.056,0.252,0.16,6.25,61,976,22.1,215,7.8,76,111.36,113.76,108.24,165.97,169.52,161.95,1.49,1.515,1.45,10.05,5.59,14.13,2864.2,5861,1782,6.1,7.4,0.7,266.1,285.7,221.9,70.568,6338,90,15.25,247,1620,31
Ryan Armour,31,1084,1,3,4533,105,-0.067,-6.147,92,284.2,59.83,356,595,73.46,"1,060",1443,68,36.44,125,218,-70,-51,14,52.33,90,172,57,3.01,58,0.467,0.017,0.25,0.2,4.09,55,"1,344",19.36,260,4.4,59,109.29,115.34,105.84,161.19,166.1,157.12,1.475,1.511,1.42,10.03,7.05,12.86,2728.7,5452,1764,6.1,7.2,4.6,257.5,281.1,230.7,70.758,7515,107,15.42,297,1926,36
Ryan Blaum,28,433,0,2,5184,81,0.025,1.79,72,289,55.46,264,476,64.31,699,1087,105,53.97,136,116,-75,-14,22,41.54,54,130,48,3.35,47,-0.058,0.011,-0.074,0.005,3.19,32,"1,004",28.02,281,5,50,108.05,111.99,104.96,161.74,165.92,154.49,1.496,1.514,1.439,10.02,6.8,12.98,2819,6017,2120,6.8,8.7,5,269,292.5,237.5,70.993,5502,78,17.95,252,1404,33
Ryan Moore,22,806,0,5,4811,78,-0.271,-17.863,66,289.2,64.16,281,438,71.94,787,1094,42,56.33,138,107,-77,-8,8,47.14,66,140,43,2.56,36,1.211,0.406,0.532,0.273,4.12,38,922,21.2,195,3.5,32,109.43,113.08,104.92,162.68,165.42,155.86,1.486,1.509,1.449,9.97,6.62,12.73,2472.9,5065,1654,6.1,7.3,1.7,263.5,287.2,223.1,70.015,5457,78,13.39,188,1404,37
Ryan Palmer,21,900,0,3,4717,65,-0.396,-22.167,56,305.7,56.68,212,374,58.88,484,822,139,68.47,139,64,-76,-5,12,47.58,59,124,39,3.17,36,0.336,0.272,0.22,-0.157,17.34,145,836,28.31,235,7.1,59,116.66,121.2,112.5,173.8,179.89,167.32,1.49,1.517,1.442,9.91,6.13,13.65,2360.6,3138,1411,6.2,7.8,0.9,284.9,308.1,264.5,71.031,4444,63,17.99,204,1134,39
Sam Ryder,26,551,0,3,5066,82,-0.349,-24.435,70,297.3,56.47,227,402,66.91,746,1115,2,61.24,158,100,-85,-5,10,43.48,50,115,36,3.82,55,0.503,0.203,0.399,-0.099,8.71,85,976,24.72,240,4.9,48,117.17,120.34,113.55,169.88,175.38,161.98,1.45,1.497,1.384,9.87,5.36,15.95,2962.8,5877,1548,6.2,7.5,2,274.9,298.6,243.8,70.914,5612,80,14.65,211,1440,29
Sam Saunders,26,437,0,4,5180,80,0.094,6.304,67,302.8,55.79,260,466,60.14,620,1031,132,67.67,157,75,-97,-1,15,51.75,74,143,46,2.25,30,0.132,0.35,-0.081,-0.138,12.74,119,934,29.25,270,6.7,62,113.47,118.35,109.5,170.67,175.55,164.79,1.504,1.518,1.464,9.77,4.63,14.58,2344.5,4251,1658,6.5,8,2.8,285,309.5,249.1,70.794,5208,74,17.49,233,1332,33
Satoshi Kodaira,18,600,1,1,5017,51,-0.536,-20.386,38,293.2,52.76,172,326,64.97,421,648,186,48.06,62,67,-23,6,4,40.24,33,82,43,5.09,44,-1.183,0.026,-0.285,-0.924,8.08,43,532,26.74,142,5.1,27,110.87,113.37,107.7,165.13,169.19,159.88,1.489,1.516,1.461,9.77,6.25,12.91,2458.1,4203,1526,6.3,7.3,4.4,276.8,304.3,247.1,72.182,3467,48,23.84,206,864,34
Scott Brown,32,422,0,2,5195,102,0.049,3.967,81,292.6,54.79,332,606,62.03,848,1367,115,52.65,149,134,-70,3,17,42.86,69,161,68,2.27,40,-0.71,-0.265,-0.27,-0.175,4.96,56,"1,130",30.06,337,6.1,68,113.5,117.92,108.64,165.98,170.46,159.12,1.462,1.514,1.397,9.75,6.07,14.62,2649.5,5935,1547,6.3,7.6,4.5,271.8,298.4,243.3,71.329,6954,98,17.23,304,1764,36
Scott Piercy,25,833,1,2,4784,80,-0.573,-34.359,60,296.3,56.54,216,382,64.35,648,1007,12,52.86,111,99,-67,-3,10,43.97,51,116,43,3.54,51,0.916,0.205,0.641,0.071,9.71,87,896,28.35,252,4.3,38,112.59,116.99,107.14,168.51,173.44,161.14,1.496,1.518,1.42,9.74,5.41,12.43,2621.2,5283,1431,6.1,7.5,4.1,274.8,311.2,242.3,70.736,5634,80,16.46,237,1440,36
