Player,EVENTS_PLAYED,POINTS,NUMBER_OF_WINS,NUMBER_OF_TOP_Tens,POINTS_BEHIND_LEAD,ROUNDS_PLAYED,SG_PUTTING_PER_ROUND,TOTAL_SG:PUTTING,MEASURED_ROUNDS,AVG_Driving_DISTANCE,UP_AND_DOWN_%,PAR_OR_BETTER,MISSED_GIR,FAIRWAY_HIT_%,FAIRWAYS_HIT,POSSIBLE_FAIRWAYS,GIR_RANK,GOING_FOR_GREEN_IN_2%,ATTEMPTS_GFG,NON-ATTEMPTS_GFG,RTP-GOING_FOR_THE_GREEN,RTP-NOT_GOING_FOR_THE_GRN,HOLE_OUTS,SAND_SAVE%,NUMBER_OF_SAVES,NUMBER_OF_BUNKERS,TOTAL_O/U_PAR,Three_PUTT%,TOTAL_3_PUTTS,SG_PER_ROUND,SG:OTT,SG:APR,SG:ARG,DRIVES_320+%,TOTAL_DRIVES_FOR_320+,TOTAL_DRIVES,ROUGH_TENDNECY%,TOTAL_ROUGH,FAIRWAY_BUNKER%,TOTAL_FAIRWAY_BUNKERS,AVG_CLUB_HEAD_SPEED,FASTEST_CH_SPEED,SLOWEST_CH_SPEED,AVG_BALL_SPEED,FASTEST_BALL_SPEED,SLOWEST_BALL_SPEED,AVG_SMASH_FACTOR,HIGHEST_SF,LOWEST_SF,AVG_LAUNCH_ANGLE,LOWEST_LAUNCH_ANGLE,STEEPEST_LAUNCH_ANGLE,AVG_SPIN_RATE,HIGHEST_SPIN_RATE,LOWEST_SPIN_RATE,AVG_HANG_TIME,LONGEST_ACT.HANG_TIME,SHORTEST_ACT.HANG_TIME,AVG_CARRY_DISTANCE,LONGEST_CARRY_DISTANCE,SHORTEST_CARRY_DISTANCE,AVG_SCORE,TOTAL_STROKES,TOTAL_ROUNDS,MAKES_BOGEY%,BOGEYS_MADE,HOLES_PLAYED,AGE
Brian Stuard,32,654,0,3,4963,103,0.148,12.717,86,278.4,59.53,331,556,71.21,945,1327,83,29.41,95,228,-49,-34,9,47.62,70,147,65,1.95,34,-0.085,-0.236,0.128,0.022,1.5,18,"1,202",22.02,264,4.5,54,105.86,109.16,102.16,158.74,163.1,151.34,1.499,1.518,1.43,12.41,9.35,17.16,2649.6,4117,1887,6.3,7.6,2.7,260.1,289.2,231.9,71.038,6855,97,15.18,265,1746,35
Brice Garnett,29,853,1,2,4764,95,-0.096,-7.371,77,296.7,58.26,321,551,64.3,816,1269,101,50.89,143,138,-79,-4,11,41.61,57,137,51,2.87,49,-0.224,0.197,-0.103,-0.318,7.08,80,"1,130",28.39,320,5.5,62,112.2,116.11,108.74,168.59,172.22,164.09,1.502,1.519,1.463,12.4,9.94,16.87,2520.8,5731,1587,6.1,7.3,2.6,277,301.8,238.5,71.018,6716,95,16.2,277,1710,35
Bronson Burgoon,24,718,0,2,4899,69,0.107,6.123,57,302.8,55.61,218,392,64.53,624,967,50,66.01,134,69,-81,-2,11,45.95,51,111,32,2.9,36,0.373,0.309,0.371,-0.307,12.78,102,798,26.32,209,5.7,45,113.33,117.32,109.58,170.27,175.36,165.15,1.502,1.516,1.443,12.38,8.56,15.91,2390.6,4025,1745,6.5,7.5,2.6,283.3,305.8,246.3,70.701,4845,69,16.18,201,1242,31
Brooks Koepka,15,2551,2,6,3066,56,-0.004,-0.183,42,313.4,64.69,185,286,57.2,405,708,56,73.38,113,41,-60,-2,8,52.56,41,78,16,3.54,37,1.226,0.767,0.228,0.23,31.64,205,648,32.4,209,4.5,29,122.08,126.98,116.64,180.62,184.04,173.69,1.479,1.512,1.421,12.37,5.32,18.02,2714.4,6204,2071,6.4,8,1.4,297,318.3,269.1,69.31,4018,58,13.89,145,1044,28
Bryson DeChambeau,24,5617,3,9,,85,0.326,21.533,66,306.4,61.68,272,441,61.23,698,1140,26,66.79,175,87,-115,-1,11,48.09,63,131,39,3.5,56,1.385,0.579,0.654,0.151,19.33,190,983,26.47,257,4.3,42,117.67,123.93,112.41,175.43,183.89,167.13,1.491,1.515,1.435,12.31,8.36,16.28,2593.9,4810,1631,6.5,7.7,3.4,293.3,326.7,251.3,69.624,6194,89,14.73,236,1602,24
Bubba Watson,22,2277,3,6,3340,82,-0.033,-1.924,58,313.6,57.18,219,383,58.43,565,967,34,71.43,155,62,-99,-8,11,47.01,55,117,34,2.44,33,0.82,0.861,0.092,-0.133,31.22,271,868,30.92,265,6.7,57,121.22,125.56,118.02,181.33,185.26,176.88,1.496,1.52,1.431,12.3,9.84,15.32,2864.5,5924,1773,6.6,8.5,1,294.4,323.2,259.5,70.25,5246,75,15.33,207,1350,39
Bud Cauley,17,405,0,2,5212,55,0.367,15.055,41,295.4,60.12,205,341,60.81,450,740,149,53.01,88,78,-40,-16,10,54.37,56,103,29,2.94,28,0.094,-0.113,-0.032,0.239,8.04,46,572,28.7,163,7.6,43,112.3,114.57,109.83,168.39,171.89,163.48,1.499,1.516,1.462,12.28,8.45,15.96,2552.7,4894,1790,6.6,7.7,3.6,282.8,304.5,250.1,71.356,3775,53,17.09,163,954,25
Byeong Hun An,23,1061,0,4,4556,82,-0.177,-11.512,65,308.6,63.16,276,437,59.29,632,1066,62,64.44,154,85,-92,2,14,51.24,62,121,34,2.78,42,1.188,0.477,0.508,0.202,20.54,198,964,29.41,280,5.6,53,117.2,121.92,113.89,176.22,179.75,171.58,1.503,1.517,1.465,12.26,10.05,14.67,2481.9,4565,1888,6.9,8.1,3.4,292.2,319.6,261.3,70.19,5902,84,14.95,226,1512,28
C.T. Pan,29,1170,0,2,4447,100,-0.059,-4.618,78,292.6,56.62,278,491,68.57,901,1314,5,57.93,157,114,-81,-19,17,40.15,55,137,52,2.66,47,0.58,0.228,0.287,0.065,6.72,77,"1,146",22.74,259,5.2,59,111.32,114.63,108.14,167.46,172.38,163.4,1.504,1.516,1.462,12.26,9.09,15.51,2697.3,4315,1496,6.6,8.1,2.8,276.6,302.1,241.3,70.457,6866,98,14.74,260,1764,26
Cameron Percy,16,191,0,2,5426,56,-0.205,-8.392,41,295.6,57.3,157,274,63.66,445,699,30,56.52,78,60,-52,-10,8,54.79,40,73,24,2.44,22,0.49,0.241,0.039,0.21,10.1,58,574,30.49,175,5.4,31,111.11,114.44,107.3,166.61,171.31,159.21,1.499,1.511,1.456,12.25,9.27,15.91,2216.1,6179,1443,6.2,7.1,3.3,276.1,308,253.2,70.909,3503,50,14.89,134,900,44
