,AGE,ATTEMPTS_GFG,AVG_Driving_DISTANCE,AVG_SCORE,FAIRWAY_HIT_%,GIR_RANK,MISSED_GIR,NUMBER_OF_TOP_Tens,NUMBER_OF_WINS,PAR_OR_BETTER,POINTS,ROUGH_TENDNECY%,SAND_SAVE%,SG:APR,SG:ARG,SG:OTT,TOTAL_3_PUTTS,TOTAL_SG:PUTTING,UP_AND_DOWN_%,labels
139,36.0,83.0,295.6,69.887,67.05,7.0,325.0,5.0,0.0,188.0,1121.0,25.57,55.45,0.693,0.094,0.348,40.0,5.828,57.85,2
140,49.0,77.0,296.2,71.409,55.22,182.0,358.0,1.0,0.0,204.0,261.0,32.18,41.89,0.389,-0.083,-0.392,28.0,-16.459,56.98,0
141,35.0,139.0,292.2,71.185,65.16,77.0,523.0,2.0,0.0,301.0,498.0,25.87,43.36,-0.099,0.058,0.113,50.0,-8.405,57.55,4
142,29.0,114.0,301.1,69.452,63.81,28.0,339.0,4.0,0.0,218.0,1302.0,26.29,59.8,0.478,0.257,0.27,26.0,10.983,64.31,1
143,39.0,85.0,290.6,71.663,47.15,156.0,385.0,1.0,0.0,221.0,164.0,42.35,51.65,0.059,0.257,-1.019,26.0,15.195,57.4,0
144,31.0,82.0,285.2,71.532,56.26,150.0,440.0,0.0,0.0,262.0,148.0,33.96,60.0,0.026,0.05,-0.662,43.0,2.407,59.55,0
145,33.0,172.0,307.9,71.457,56.37,122.0,475.0,1.0,0.0,270.0,353.0,30.67,43.2,0.331,-0.186,0.21,54.0,-38.672,56.84,4
146,34.0,105.0,292.6,71.905,54.11,135.0,467.0,1.0,0.0,247.0,155.0,32.13,45.0,0.096,0.084,-0.68,37.0,-4.83,52.89,0
147,32.0,93.0,286.3,71.731,63.2,157.0,444.0,0.0,0.0,260.0,107.0,28.55,50.0,-0.6,-0.237,-0.165,37.0,9.41,58.56,0
148,48.0,102.0,288.4,72.445,63.69,174.0,390.0,0.0,0.0,221.0,64.0,26.48,43.2,-0.415,-0.163,-0.095,32.0,-18.964,56.67,0
149,29.0,101.0,320.2,69.314,55.38,140.0,324.0,5.0,1.0,214.0,1373.0,30.02,54.44,0.195,0.403,0.655,22.0,7.536,66.05,1
150,36.0,155.0,292.3,70.693,62.05,71.0,515.0,1.0,0.0,316.0,521.0,27.67,60.67,-0.152,0.234,0.217,54.0,4.449,61.36,3
151,29.0,116.0,292.5,70.489,69.34,32.0,388.0,3.0,0.0,214.0,589.0,23.03,43.9,0.431,-0.252,0.094,36.0,11.054,55.15,2
152,31.0,113.0,291.7,70.568,66.94,20.0,463.0,3.0,0.0,280.0,629.0,22.1,50.4,0.252,0.16,0.056,51.0,-14.039,60.48,4
153,36.0,125.0,284.2,70.758,73.46,68.0,595.0,3.0,1.0,356.0,1084.0,19.36,52.33,0.25,0.2,0.017,58.0,-6.147,59.83,3
154,33.0,136.0,289.0,70.993,64.31,105.0,476.0,2.0,0.0,264.0,433.0,28.02,41.54,-0.074,0.005,0.011,47.0,1.79,55.46,4
155,37.0,138.0,289.2,70.015,71.94,42.0,438.0,5.0,0.0,281.0,806.0,21.2,47.14,0.532,0.273,0.406,36.0,-17.863,64.16,2
156,39.0,139.0,305.7,71.031,58.88,139.0,374.0,3.0,0.0,212.0,900.0,28.31,47.58,0.22,-0.157,0.272,36.0,-22.167,56.68,4
157,29.0,158.0,297.3,70.914,66.91,2.0,402.0,3.0,0.0,227.0,551.0,24.72,43.48,0.399,-0.099,0.203,55.0,-24.435,56.47,4
158,33.0,157.0,302.8,70.794,60.14,132.0,466.0,4.0,0.0,260.0,437.0,29.25,51.75,-0.081,-0.138,0.35,30.0,6.304,55.79,4
159,34.0,62.0,293.2,72.182,64.97,186.0,326.0,1.0,1.0,172.0,600.0,26.74,40.24,-0.285,-0.924,0.026,44.0,-20.386,52.76,0
160,36.0,149.0,292.6,71.329,62.03,115.0,606.0,2.0,0.0,332.0,422.0,30.06,42.86,-0.27,-0.175,-0.265,40.0,3.967,54.79,3
161,36.0,111.0,296.3,70.736,64.35,12.0,382.0,2.0,1.0,216.0,833.0,28.35,43.97,0.641,0.071,0.205,51.0,-34.359,56.54,4
162,38.0,162.0,299.7,70.719,55.99,110.0,540.0,2.0,0.0,334.0,608.0,31.5,56.69,0.379,-0.018,-0.021,38.0,-0.967,61.85,3
163,31.0,138.0,302.6,70.869,55.19,128.0,489.0,2.0,0.0,312.0,455.0,34.32,60.94,-0.392,-0.003,0.076,38.0,32.845,63.8,3
164,33.0,131.0,302.7,71.479,60.09,153.0,410.0,2.0,0.0,236.0,526.0,28.77,51.09,-0.073,-0.164,0.211,29.0,-11.801,57.56,4
165,34.0,111.0,300.3,70.754,60.96,43.0,304.0,0.0,0.0,167.0,296.0,28.13,51.69,0.228,-0.069,0.336,30.0,-8.159,54.93,2
166,35.0,122.0,299.6,71.192,56.52,83.0,433.0,1.0,0.0,253.0,268.0,33.25,47.5,0.221,0.013,-0.093,40.0,-2.05,58.43,4
167,28.0,169.0,290.6,71.367,59.81,151.0,635.0,5.0,0.0,364.0,972.0,29.38,50.78,-0.146,0.327,-0.021,47.0,-17.329,57.32,3
168,25.0,75.0,297.1,74.891,40.85,195.0,416.0,1.0,0.0,196.0,74.0,42.64,42.86,-1.504,-0.497,-1.585,26.0,-15.532,47.12,0
169,32.0,134.0,299.2,71.356,58.76,91.0,444.0,0.0,0.0,252.0,211.0,31.23,46.97,-0.166,0.175,0.045,38.0,-9.095,56.76,4
170,34.0,99.0,288.9,71.631,69.79,99.0,349.0,1.0,0.0,213.0,138.0,22.61,47.73,-0.065,-0.258,0.112,27.0,-5.892,61.03,2
171,45.0,124.0,298.1,70.44,57.6,48.0,492.0,3.0,0.0,274.0,775.0,31.18,49.29,0.698,0.055,0.057,45.0,-23.115,55.69,4
172,31.0,128.0,293.1,71.954,56.72,168.0,563.0,2.0,0.0,295.0,490.0,30.9,50.34,-0.094,-0.225,-0.488,45.0,-15.725,52.4,0
